mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_midday_over_import_summer,export_night_over_import,export_midday_minus_evening_over_import_summer,export_max_kw,export_max_over_mean_import,export_summer_minus_winter_over_import,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw
114701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1302,2.7550,2.2244,1.6644,-0.0434,6.2301,0.6941,0.4548,14.9228,0.0631,699,246,240,1,0,0.0000,0.1085,0
115725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0127,3.7056,0.0000,0.0000,0.0233,8.0103,0.9160,0.4651,4.9595,0.7779,668,215,240,1,0,0.0000,1.0002,0
115981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4014,2.4397,0.1535,0.2450,0.0418,7.7262,0.9549,0.3189,1.2572,0.0928,699,215,240,1,0,0.0000,0.1791,0
117005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4991,0.4231,0.0000,0.0000,-0.0067,3.9091,0.3817,0.2326,1.1924,0.1948,699,215,240,1,0,0.0000,1.8041,0
117517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8089,1.5188,0.0000,0.0000,-0.0012,6.5798,0.4656,0.3760,2.2801,0.8300,699,215,240,1,0,0.0000,1.0938,0
117773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3113,1.4102,2.3756,0.8884,-0.0010,6.4000,0.6710,0.3463,4.3558,0.0139,699,215,240,1,0,0.0000,0.2236,0
118029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8373,2.1512,0.0000,0.0000,0.0105,5.4534,0.7878,0.3614,2.9264,0.8642,1301,461,420,1,0,0.0000,0.2736,0
119053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7287,0.5249,0.0000,0.0000,-0.0076,5.5950,0.3383,0.2624,1.4965,0.1296,638,215,240,1,0,0.0000,1.4308,0
119309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2173,1.6723,0.0000,0.0000,0.0145,4.6061,0.7732,0.2813,2.5499,0.7093,669,215,240,1,0,0.0000,0.6816,0
119565,16999.1621,0.8730,3.5450,0.2270,3.0054,0.0010,1.5926,9.8464,14.2475,2.6225,0.0667,1.0719,6.8767,0.0161,0.1044,1.2204,0.6433,0.0441,0.3872,0.0000,638,215,240,1,1,11.7840,0.6911,0
120333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3681,1.3976,0.0000,0.0000,0.0038,8.6894,0.8579,0.3408,2.0086,0.8291,669,215,240,1,0,0.0000,0.4197,0
120589,13314.2910,0.8746,23.7456,1.4125,20.1203,0.0080,10.9152,8.1040,60.1207,7.2657,0.1277,1.2940,7.6818,0.9303,0.0646,4.7709,0.2528,0.0623,0.6276,0.0000,638,215,240,1,1,11.9520,0.1348,0
120845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3625,1.3655,0.0000,0.0000,-0.0003,5.3989,1.0160,0.3352,1.7156,0.8500,638,215,240,1,0,0.0000,0.2335,0
121101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6136,6.0619,3.2570,4.0628,-0.0124,6.7937,0.4729,0.3761,5.7677,0.6403,638,215,240,1,0,0.0000,0.0706,0
121869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9747,0.7020,0.0000,0.0000,-0.0165,4.9509,0.5162,0.2993,1.0394,0.5780,638,215,240,1,0,0.0000,2.3322,0
122125,0.3900,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.4598,2.2563,0.0256,0.0000,0.0075,7.4210,5.8876,0.4099,2.9501,0.7371,638,215,240,1,0,1.1840,8.5040,0
122381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3579,1.3642,0.0000,0.0000,0.0003,6.0161,0.8116,0.3340,2.0074,0.4768,638,215,240,1,0,0.0000,0.4672,0
124173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,0.0000,7.9837,0.4955,-0.0008,0.9952,0.5841,0.0015,0.0000,0.0000,608,215,210,1,0,0.0000,1.2213,0
124429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3378,3.2554,0.0000,0.0000,0.0595,5.2894,0.9229,0.3135,7.0679,0.5537,577,215,179,1,0,0.0000,0.2808,0
124685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2848,1.3292,0.0000,0.0000,0.0079,6.2838,1.2548,0.3801,1.3592,0.8387,577,215,179,1,0,0.0000,0.4667,0
124941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3756,1.1178,0.0000,0.0000,0.0043,5.0411,0.4079,0.3265,2.7252,0.4195,546,215,148,1,0,0.0000,0.7524,0
125197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1437,1.1554,2.7128,1.0484,0.1036,3.1172,1.8125,0.1417,0.4934,0.0170,546,215,148,1,0,0.0000,0.3837,0
125453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2555,1.3166,2.6814,3.1105,0.0343,3.7178,0.9216,0.3546,3.7771,0.2320,546,215,148,1,0,0.0000,0.2046,0
125965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5029,2.3762,0.0000,0.0000,0.0645,5.4416,1.1012,0.4018,2.3414,0.9131,546,215,148,1,0,0.0000,0.2746,0
126221,28771.4160,0.8092,8.5887,0.1477,7.0054,0.0034,3.6553,17.2900,15.5421,3.3739,0.1486,0.5561,6.7500,0.0761,0.0472,1.7437,0.2840,0.0731,0.9257,0.0000,608,215,210,1,1,18.7840,1.1125,0
126477,10063.9854,0.8388,88.5120,0.0110,77.5514,0.0105,39.0316,8.3456,28.9013,5.3431,0.3344,0.3517,7.3802,4.4836,-0.0051,2.7370,0.0205,0.1140,1.6588,0.0000,546,215,148,1,1,9.3200,0.2888,0
127501,432.1000,0.7143,0.3930,0.0870,0.3048,0.0000,0.0648,0.4884,3.9671,0.2672,1.1676,1.7446,4.3732,0.0154,0.0518,1.7651,0.8661,0.2995,4.5969,0.0368,546,215,148,1,1,0.5360,0.1231,0
127757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2958,0.7966,0.0581,0.0192,0.0064,4.3222,0.9416,0.2762,2.8617,0.2341,546,215,148,1,0,0.0000,0.6366,0
128013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3840,1.5718,0.0000,0.0000,0.0049,7.0130,1.1338,0.2885,2.4423,0.5121,546,215,148,1,0,0.0000,0.4937,0
128269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3318,0.3574,0.0116,0.0049,-0.0178,5.6736,1.3296,0.2877,3.8415,0.2508,943,338,300,1,0,0.0000,0.3685,0
128525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4726,1.7884,1.5302,2.0093,-0.0207,5.9410,0.6935,0.3005,1.6917,0.8880,518,215,120,1,0,0.0000,0.0900,0
128781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9050,1.1292,0.0000,0.0000,-0.0024,4.1124,1.3183,0.2810,1.3357,0.4100,577,215,179,1,0,0.0000,0.7942,0
129805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9989,1.0079,3.8488,4.1681,0.0007,2.2961,1.4377,0.3354,0.6072,0.7680,546,215,148,1,0,0.0000,0.0423,0
130317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3128,0.6759,0.0000,0.0000,-0.0507,7.4045,0.1360,0.2884,7.3527,0.8349,518,215,120,1,0,0.0000,1.1399,0
