mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
151575,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.28608,1.25168,0.45380,0.25389,-0.01419,4.91046,0.52981,0.28507,4.68368,0.49620,396,154,120,1,0,0.00000,0.13977,0,0.00000,0.00000,0.00000,0.16889,0.07670,5107,Schinznach Dorf,BUS Buchs / Aarau,8.79924,BUS Buchs / Aarau,8.79924,92,120,,7
151831,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.55248,1.38009,0.00000,0.09404,-0.00880,10.23804,0.97643,0.37762,0.18858,1.47544,334,92,120,1,0,0.00000,1.28606,0,0.00000,0.00000,0.00000,0.47387,0.63403,5727,Oberkulm,MOA Mosen,10.10572,MOA Mosen,10.10572,92,120,,7
152087,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.00000,1.27180,0.00000,0.16853,0.00000,12.00000,1.00000,0.33333,0.00000,1.00000,242,0,120,1,0,0.00000,1.82079,0,0.00000,0.00000,0.00000,0.00000,-0.86494,5074,Eiken,MOE Möhlin,9.19899,MOE Möhlin,9.19899,0,120,,18
152343,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.67428,1.50357,0.00000,0.00000,0.00399,7.89543,0.67956,0.38986,1.63214,1.04379,334,92,120,1,0,0.00000,0.34191,0,0.00000,0.00000,0.00000,-0.50064,0.20532,5314,Kleindöttingen,BEZ Beznau,1.44603,BEZ Beznau,1.44603,92,120,,7
152599,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.73027,3.06172,1.54891,1.62500,0.02124,4.94680,1.00356,0.20878,6.45541,0.56767,334,92,120,1,0,0.00000,0.13343,0,0.00000,0.00000,0.00000,0.07495,0.16490,5312,Döttingen,BEZ Beznau,1.91879,BEZ Beznau,1.91879,92,120,,7
152855,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,0.91673,0.48455,0.00000,0.00000,-0.01173,3.60352,0.88277,0.33234,1.40127,0.37381,334,92,120,1,0,0.00000,0.83352,0,0.00000,0.00000,0.00000,0.01445,0.03622,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,92,120,,7
153111,4433.22314,0.46108,6.16530,0.01423,0.00908,0.83043,0.00117,13.82111,2.68639,11.88680,1.17921,3.51758,7.01172,0.10889,0.00000,0.97578,0.25196,0.15664,6.66707,0.00000,334,92,120,1,1,13.61200,1.08399,0,0.77812,0.24367,9.24872,-0.40393,0.00000,4316,Hellikon,MOE Möhlin,7.65666,MOE Möhlin,7.65666,64,0,,2
153367,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.00000,1.00000,8.00000,7.99915,0.00000,13.00000,1.00000,0.33333,0.00000,1.00000,396,154,120,1,0,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,5027,Herznach,BUS Buchs / Aarau,9.99514,BUS Buchs / Aarau,9.99514,92,119,,18
153623,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,5.75907,3.33452,0.00000,0.00000,-0.04172,6.92197,0.88904,0.52733,11.39857,0.75355,304,92,120,1,0,0.00000,1.27622,0,0.00000,0.00000,0.00000,-0.03798,0.10546,5316,Leuggern,LEI Leibstadt,2.65713,LEI Leibstadt,2.65713,92,120,,7
153879,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.30562,1.79992,0.00000,0.00000,0.00658,7.03750,0.07148,0.32660,4.22620,0.64545,365,123,120,1,0,0.00000,0.29065,0,0.00000,0.00000,0.00000,-0.24884,-0.42920,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,32,113,,7
154391,3449.85010,0.86513,1.29752,0.05441,0.12083,0.90860,0.00003,12.19050,2.32609,5.83860,0.38455,2.79362,5.63315,0.01042,0.05377,1.48367,0.30508,0.13693,0.91384,0.03017,304,92,120,1,1,6.40000,1.49608,0,0.90090,0.37399,3.13086,-0.64143,-0.87341,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,92,117,,0
