mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
38159,0.0882,2.7040,3.4668,0.7143,1.2500,2.7500,3.8115,8.1525,0.0134,2.2020,0.5804,2.5798,0.0370,0.0192,6.0000,-0.0230,4.9459,0.5492,0.1388,1.1339,1270,461,420,0.4383,0.1520
38671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1301,461,420,0.0000,0.0000
39951,0.6987,6.0580,6.3072,0.9252,2.2500,2.7500,12.6110,16.1368,0.5135,4.8920,0.8053,3.5907,0.1360,-0.2195,1.0000,0.1588,7.7100,2.6935,0.5675,1.2508,1301,461,420,0.9647,0.1540
40207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,3.4560,0.0465,0.0482,0.0000,1301,461,420,0.1036,0.0280
40719,0.2836,3.0120,3.1444,0.9648,1.0000,2.3000,3.0680,7.3352,0.1752,2.3320,0.8889,3.0218,0.0315,-0.1517,2.0000,0.0628,5.3280,0.8115,0.4876,1.0081,1301,461,420,0.2080,0.0200
40975,0.2337,5.2920,11.2056,0.5066,1.2500,4.2500,6.0370,44.7785,0.0776,4.3500,0.6250,4.8178,0.0876,-0.0252,3.0000,0.1228,14.3080,0.9170,0.4217,1.0428,1301,461,420,0.5257,0.0800
41231,0.8301,3.1620,3.3520,0.9565,1.7500,3.5000,5.8145,11.6024,0.6326,2.4620,0.8741,2.8964,0.1045,-0.2789,1.0000,0.1401,5.9500,2.3115,0.5415,1.0537,1301,461,420,0.5620,0.1020
41487,0.0223,2.9800,3.2212,0.9655,1.0000,1.2500,2.9310,3.6820,0.0054,2.3000,0.7241,4.5514,0.0061,0.0028,6.5000,0.0268,3.3520,0.1462,0.0841,1.0000,1301,461,420,0.1949,0.0280
41743,0.1068,2.6360,3.4160,0.7338,1.5000,2.0500,4.1230,6.2546,0.0354,2.6880,0.4245,2.6436,0.0615,0.0730,6.0000,0.0513,6.8180,0.6610,0.2681,1.1151,1301,461,420,0.3103,0.0540
41999,0.0331,2.6640,3.1890,0.7143,1.2500,2.7500,3.7290,7.8952,0.0055,2.0980,0.8333,2.3536,0.0055,0.0424,14.0000,0.0207,4.2799,0.1701,0.0632,1.1190,1270,461,420,0.3996,0.1940
